,Chemistry,amine,cyclocarbonate,hydroxyl,isocyanate
64,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
65,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
66,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#6](-[#6]1(-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#7]=[#6]=[#8])(-[H])-[H])-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H]
67,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1(-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H]
68,urethane,,,[#8](-[#6]1(-[#6](-[#6](-[#6](-[#8]-[H])(-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
69,urethane,,,[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#8]-[H])(-[H])-[H])-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
70,urethane,,,[#8](-[#6]1=[#6](-[#6](=[#6](-[#6](=[#6]-1-[#6]1=[#6](-[#6](=[#6](-[#6](=[#6]-1-[#8]-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6]-1-[H])-[#6](=[#8])-[#7](-[#6]1=[#6](-[#6](=[#6](-[#6]3=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#6]5=[#6](-[#6](=[#6](-[#6](=[#6]-5-[H])-[H])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#7]5-[#6](=[#8])-[#6]6=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-6-[#6]-5=[#8])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6]-3-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]-2=[#8])-[H])-[H]
71,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
72,urethane,,,[#8](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6]2=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-2-[H])-[H])-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H]
73,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
74,urethane,,,[#8](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
75,urethane,,,[#8](-[#6](-[#6]1(-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[H],[#6](-[#6]1(-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#7]=[#6]=[#8])(-[H])-[H])-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H]
