,0
1259,ILLEGAL_ATOMS
1267,ILLEGAL_ATOMS
1270,ILLEGAL_ATOMS
1272,NO_IUPAC_NAME
1275,NO_IUPAC_NAME
1280,NO_IUPAC_NAME
1282,NO_IUPAC_NAME
1287,ILLEGAL_ATOMS
1288,NO_IUPAC_NAME
1292,ILLEGAL_ATOMS
1299,NO_IUPAC_NAME
1302,ILLEGAL_ATOMS
1307,ILLEGAL_ATOMS
1310,ILLEGAL_ATOMS
1314,ILLEGAL_ATOMS
1315,ILLEGAL_ATOMS
1320,NO_IUPAC_NAME
1323,ILLEGAL_ATOMS
1325,NO_IUPAC_NAME
1328,ILLEGAL_ATOMS
1331,NO_IUPAC_NAME
1336,NO_IUPAC_NAME
1337,NO_IUPAC_NAME
1342,ILLEGAL_ATOMS
1345,NO_IUPAC_NAME
1346,ILLEGAL_ATOMS
1350,NO_IUPAC_NAME
1352,NO_IUPAC_NAME
1353,NO_IUPAC_NAME
1354,ILLEGAL_ATOMS
1355,ILLEGAL_ATOMS
1358,ILLEGAL_ATOMS
1360,ILLEGAL_ATOMS
1363,ILLEGAL_ATOMS
1369,ILLEGAL_ATOMS
1373,NO_IUPAC_NAME
1375,ILLEGAL_ATOMS
1378,NO_IUPAC_NAME
1379,NO_IUPAC_NAME
1380,ILLEGAL_ATOMS
1386,ILLEGAL_ATOMS
1388,NO_IUPAC_NAME
1389,NO_IUPAC_NAME
1390,ILLEGAL_ATOMS
1392,ILLEGAL_ATOMS
1402,NO_IUPAC_NAME
1403,ILLEGAL_ATOMS
1406,NO_IUPAC_NAME
1409,ILLEGAL_ATOMS
1411,ILLEGAL_ATOMS
1413,ILLEGAL_ATOMS
1417,ILLEGAL_ATOMS
1420,ILLEGAL_ATOMS
1421,NO_IUPAC_NAME
1424,ILLEGAL_ATOMS
1426,NO_IUPAC_NAME
1428,NO_IUPAC_NAME
1436,NO_IUPAC_NAME
1437,ILLEGAL_ATOMS
1441,ILLEGAL_ATOMS
1444,BANNED_MONOMER
1445,NO_IUPAC_NAME
1447,ILLEGAL_ATOMS
1452,BAD_NUM_FN_GRPS
1453,ILLEGAL_ATOMS
1459,NO_IUPAC_NAME
1463,NO_IUPAC_NAME
1464,ILLEGAL_ATOMS
1477,ILLEGAL_ATOMS
1483,ILLEGAL_ATOMS
1484,ILLEGAL_ATOMS
1491,NO_IUPAC_NAME
1503,NO_IUPAC_NAME
1505,NO_IUPAC_NAME
1509,NO_IUPAC_NAME
1512,ILLEGAL_ATOMS
1513,ILLEGAL_ATOMS
1514,ILLEGAL_ATOMS
1515,BAD_NUM_MONOMERS
1527,NO_IUPAC_NAME
1530,BAD_NUM_FN_GRPS
1533,ILLEGAL_ATOMS
1534,NO_IUPAC_NAME
1537,NO_IUPAC_NAME
1538,ILLEGAL_ATOMS
1539,ILLEGAL_ATOMS
1558,NO_IUPAC_NAME
1559,ILLEGAL_ATOMS
1561,NO_IUPAC_NAME
1562,ILLEGAL_ATOMS
1564,ILLEGAL_ATOMS
1568,ILLEGAL_ATOMS
1578,NO_IUPAC_NAME
1583,NO_IUPAC_NAME
1584,ILLEGAL_ATOMS
1589,NO_IUPAC_NAME
1591,NO_IUPAC_NAME
1602,ILLEGAL_ATOMS
1603,ILLEGAL_ATOMS
1605,BAD_NUM_FN_GRPS
1606,ILLEGAL_ATOMS
1607,NO_IUPAC_NAME
1614,ILLEGAL_ATOMS
1616,ILLEGAL_ATOMS
1617,NO_IUPAC_NAME
1620,NO_IUPAC_NAME
1622,ILLEGAL_ATOMS
1627,ILLEGAL_ATOMS
1629,ILLEGAL_ATOMS
1637,NO_IUPAC_NAME
1640,ILLEGAL_ATOMS
1646,ILLEGAL_ATOMS
1647,ILLEGAL_ATOMS
1648,ILLEGAL_ATOMS
1651,NO_IUPAC_NAME
1652,ILLEGAL_ATOMS
1653,ILLEGAL_ATOMS
1661,NO_IUPAC_NAME
1667,ILLEGAL_ATOMS
1672,ILLEGAL_ATOMS
1674,NO_IUPAC_NAME
1682,ILLEGAL_ATOMS
1683,ILLEGAL_ATOMS
1688,ILLEGAL_ATOMS
1689,NO_IUPAC_NAME
1694,NO_IUPAC_NAME
1695,ILLEGAL_ATOMS
1696,ILLEGAL_ATOMS
1697,ILLEGAL_ATOMS
1699,ILLEGAL_ATOMS
1707,BAD_NUM_FN_GRPS
1714,NO_IUPAC_NAME
1718,ILLEGAL_ATOMS
1719,ILLEGAL_ATOMS
1725,ILLEGAL_ATOMS
1726,NO_IUPAC_NAME
1729,NO_IUPAC_NAME
1733,NO_IUPAC_NAME
1735,ILLEGAL_ATOMS
1737,ILLEGAL_ATOMS
1742,NO_IUPAC_NAME
1745,NO_IUPAC_NAME
1746,ILLEGAL_ATOMS
1747,NO_IUPAC_NAME
1749,NO_IUPAC_NAME
1753,ILLEGAL_ATOMS
1760,NO_IUPAC_NAME
1761,ILLEGAL_ATOMS
1764,NO_IUPAC_NAME
1768,ILLEGAL_ATOMS
1769,ILLEGAL_ATOMS
1771,ILLEGAL_ATOMS
1780,ILLEGAL_ATOMS
1785,ILLEGAL_ATOMS
1786,ILLEGAL_ATOMS
1792,ILLEGAL_ATOMS
1807,ILLEGAL_ATOMS
1813,ILLEGAL_ATOMS
1814,ILLEGAL_ATOMS
1817,ILLEGAL_ATOMS
1821,NO_IUPAC_NAME
1825,ILLEGAL_ATOMS
1831,BAD_NUM_FN_GRPS
1834,NO_IUPAC_NAME
1835,BANNED_MONOMER
1838,BAD_NUM_FN_GRPS
1841,NO_IUPAC_NAME
1842,ILLEGAL_ATOMS
1845,NO_IUPAC_NAME
1847,ILLEGAL_ATOMS
1849,ILLEGAL_ATOMS
1852,ILLEGAL_ATOMS
1856,ILLEGAL_ATOMS
1858,ILLEGAL_ATOMS
1861,NO_IUPAC_NAME
1864,ILLEGAL_ATOMS
1866,ILLEGAL_ATOMS
1867,ILLEGAL_ATOMS
1869,NO_IUPAC_NAME
1877,ILLEGAL_ATOMS
1878,ILLEGAL_ATOMS
1883,NO_IUPAC_NAME
1884,ILLEGAL_ATOMS
1887,NO_IUPAC_NAME
