mechanism,polymer_name,smiles_monomer_0,fn_group_name_monomer_0,IUPAC_name_monomer_0,smiles_monomer_1,fn_group_name_monomer_1,IUPAC_name_monomer_1,mechanism_orig,smiles_monomer
polyurethane_isocyanate,"poly(1,18-diisocyanatooctadecane-co-decane-1,10-diol)",[H]-[C](-[H])(-[N]=[C]=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N]=[C]=[O],isocyanate,"1,18-diisocyanatooctadecane",[H]-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[H],hydroxyl,"decane-1,10-diol",urethane,OCCCCCCCCCCO.O=C=NCCCCCCCCCCCCCCCCCCN=C=O
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-[6-(hydroxymethyl)pyridin-2-yl]methanol)",[H]-[C](-[H])(-[N]=[C]=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N]=[C]=[O],isocyanate,"1,4-diisocyanatobutane",[H]-[O]-[C](-[H])(-[H])-[C]1=[C](-[H])-[C](-[H])=[C](-[H])-[C](-[C](-[H])(-[H])-[O]-[H])=[N]-1,hydroxyl,[6-(hydroxymethyl)pyridin-2-yl]methanol,urethane,OCc1cccc(CO)n1.O=C=NCCCCN=C=O
polyurethane_isocyanate,"poly(1,6-diisocyanatohexane-co-2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol)",[H]-[C](-[H])(-[N]=[C]=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N]=[C]=[O],isocyanate,"1,6-diisocyanatohexane",[H]-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[H],hydroxyl,2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol,urethane,O=C=NCCCCCCN=C=O.OCCOCCOCCOCCO
polyurethane_isocyanate,"poly(5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane-co-ethane-1,2-diol)",[H]-[C](-[H])(-[H])-[C]1(-[C](-[H])(-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[N]=[C]=[O])-[C](-[H])(-[H])-[C](-[C](-[H])(-[H])-[H])(-[C](-[H])(-[H])-[N]=[C]=[O])-[C]-1(-[H])-[H],isocyanate,"5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",[H]-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[H],hydroxyl,"ethane-1,2-diol",urethane,OCCO.CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
polyurethane_isocyanate,poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-2-[2-hydroxyethyl-[4-(4-nitrophenyl)diazenylphenyl]amino]ethanol),[H]-[C]1=[C](-[N]=[C]=[O])-[C](-[H])=[C](-[H])-[C](-[C](-[H])(-[H])-[C]2=[C](-[H])-[C](-[H])=[C](-[N]=[C]=[O])-[C](-[H])=[C]-2-[H])=[C]-1-[H],isocyanate,1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene,[H]-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[N](-[C]1=[C](-[H])-[C](-[H])=[C](-[N]=[N]-[C]2=[C](-[H])-[C](-[H])=[C](-[N+](=[O])-[O-])-[C](-[H])=[C]-2-[H])-[C](-[H])=[C]-1-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[H],hydroxyl,2-[2-hydroxyethyl-[4-(4-nitrophenyl)diazenylphenyl]amino]ethanol,urethane,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1.O=[N+]([O-])c1ccc(N=Nc2ccc(N(CCO)CCO)cc2)cc1
polyurethane_isocyanate,"poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-butane-1,4-diol)",[H]-[C]1=[C](-[N]=[C]=[O])-[C](-[H])=[C](-[H])-[C](-[C](-[H])(-[H])-[C]2=[C](-[H])-[C](-[H])=[C](-[N]=[C]=[O])-[C](-[H])=[C]-2-[H])=[C]-1-[H],isocyanate,1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene,[H]-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[H],hydroxyl,"butane-1,4-diol",urethane,OCCCCO.O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1
polyurethane_isocyanate,"poly(5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane-co-propane-1,3-diol)",[H]-[C](-[H])(-[H])-[C]1(-[C](-[H])(-[H])-[H])-[C](-[H])(-[H])-[C](-[H])(-[N]=[C]=[O])-[C](-[H])(-[H])-[C](-[C](-[H])(-[H])-[H])(-[C](-[H])(-[H])-[N]=[C]=[O])-[C]-1(-[H])-[H],isocyanate,"5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",[H]-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[H],hydroxyl,"propane-1,3-diol",urethane,OCCCO.CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
polyurethane_isocyanate,"poly(1,6-diisocyanatohexane-co-propane-1,3-diol)",[H]-[C](-[H])(-[N]=[C]=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N]=[C]=[O],isocyanate,"1,6-diisocyanatohexane",[H]-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[H],hydroxyl,"propane-1,3-diol",urethane,OCCCO.O=C=NCCCCCCN=C=O
polyurethane_isocyanate,"poly(1,10-diisocyanatodecane-co-decane-1,10-diol)",[H]-[C](-[H])(-[N]=[C]=[O])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[N]=[C]=[O],isocyanate,"1,10-diisocyanatodecane",[H]-[O]-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[C](-[H])(-[H])-[O]-[H],hydroxyl,"decane-1,10-diol",urethane,OCCCCCCCCCCO.O=C=NCCCCCCCCCCN=C=O
polyurethane_isocyanate,poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-[6-(hydroxymethyl)pyridin-2-yl]methanol),[H]-[C]1=[C](-[N]=[C]=[O])-[C](-[H])=[C](-[H])-[C](-[C](-[H])(-[H])-[C]2=[C](-[H])-[C](-[H])=[C](-[N]=[C]=[O])-[C](-[H])=[C]-2-[H])=[C]-1-[H],isocyanate,1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene,[H]-[O]-[C](-[H])(-[H])-[C]1=[C](-[H])-[C](-[H])=[C](-[H])-[C](-[C](-[H])(-[H])-[O]-[H])=[N]-1,hydroxyl,[6-(hydroxymethyl)pyridin-2-yl]methanol,urethane,OCc1cccc(CO)n1.O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1
