,mechanism,smiles_monomer
31,NIPU,NCc1cccc(CN)c1.CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)OCC2COC(=O)O2)C1CCCCCCCCC(=O)OCC1COC(=O)O1
32,NIPU,CCCCCCC1CCC(CCCCCCCCN)C(CCCCCCCCCCN)C1CCCCCC.CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)OCC2COC(=O)O2)C1CCCCCCCCC(=O)OCC1COC(=O)O1
33,NIPU,NCCCNCCCN.O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1
34,NIPU,NCCCCCCNC(=O)CC(O)(CC(=O)NCCCCCCN)C(=O)NCCCCCCN.CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)OCC2COC(=O)O2)C1CCCCCCCCC(=O)OCC1COC(=O)O1
35,NIPU,O=C1OCC(COCC(O)C(OCC2COC(=O)O2)C(OCC2COC(=O)O2)C(O)COCC2COC(=O)O2)O1.CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCNCCCN)C1CCCCCCCCC(=O)NCCCNCCCN
36,NIPU,NCc1cccc(CN)c1.O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1
37,NIPU,NCc1cccc(CN)c1.CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC
38,NIPU,CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC.CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCN)C1CCCCCCCCC(=O)NCCN
39,NIPU,NCCCNCCCN.CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC
40,NIPU,NCCCCCCCCCCCCN.CC(C)(c1ccc(OCC2COC(=O)O2)cc1)c1ccc(OCC2COC(=O)O2)cc1
41,NIPU,NCc1cccc(CN)c1.CCCCCCC1CCC(CCCCCCCCCOC(=O)CCCCCCCC2OC(=O)OC2CC2OC(=O)OC2CC2OC(=O)OC2CC)C(CCCCCCCCCCCOC(=O)CCCCCCCC2OC(=O)OC2CC2OC(=O)OC2CC2OC(=O)OC2CC)C1CCCCCC
42,NIPU,NCCN(CCN)CCN.CCCCCCCC(CCCCCCCc1cccc(OCC2COC(=O)O2)c1)c1ccc(OCC2COC(=O)O2)cc1
43,NIPU,NCc1cccc(CN)c1.CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC
44,NIPU,CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC.CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCCCN)C1CCCCCCCCC(=O)NCCCCCCCN
