Chemistry,Monomers
NIPU,"('O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1', 'CCCCCCNC(=O)C(O)(CC(=O)NCCCCCCN)CC(=O)NCCCCCCN')"
NIPU,"('NCCCCN', 'CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('NCc1cccc(CN)c1', 'CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('NCc1cccc(CN)c1', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2CCC(CCCCC)C(CCCCCCC)C2CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2C(CCCCCCCCC(=O)NCCCCN)CCC(CCCCC)C2CCCCCCC)C1CCCCCCCCC(=O)NCCCCN')"
NIPU,"('NCCCNCCCN', 'CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('NCCOCCOCCN', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)OCC2COC(=O)O2)C1CCCCCCCCC(=O)OCC1COC(=O)O1')"
NIPU,"('NC1CCCC(CC2CCCC(N)C2)C1', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('NC1CCCC(CC2CCCC(N)C2)C1', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCN)C1CCCCCCCCC(=O)NCCCCN', 'CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCN)C1CCCCCCCCC(=O)NCCCCN')"
NIPU,"('CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCNCCCN)C1CCCCCCCCC(=O)NCCCNCCCN')"
NIPU,"('O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1', 'NCCCCCCNC(=O)CC(O)(CC(=O)NCCCCCCN)C(=O)NCCCCCCN')"
NIPU,"('NCCN(CCN)CCN', 'O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1')"
NIPU,"('NCCCCCCN', 'CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('O=C1OCC(COCC(O)C(OCC2COC(=O)O2)C(OCC2COC(=O)O2)C(O)COCC2COC(=O)O2)O1', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2CCC(CCCCC)C(CCCCCCC)C2CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2C(CCCCCCCCC(=O)NCCCCN)CCC(CCCCC)C2CCCCCCC)C1CCCCCCCCC(=O)NCCCCN')"
NIPU,"('CCCCCCC1CCC(CCCCCCCCN)C(CCCCCCCCCCN)C1CCCCCC', 'CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('O=C1OCC(COc2cccc(OCC3COC(=O)O3)c2)O1', 'CCCCCCC1CCC(CCCCCCCCN)C(CCCCCCCCCCN)C1CCCCCC')"
NIPU,"('CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCN)C1CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC1C(CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2CCC(CCCCC)C(CCCCCCC)C2CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2C(CCCCCCCCC(=O)NCCCCN)CCC(CCCCC)C2CCCCCCC)CCC(CCCCC)C1CCCCCCC')"
NIPU,"('CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCN)C1CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC1C(CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2CCC(CCCCC)C(CCCCCCC)C2CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2C(CCCCCCCCC(=O)NCCCCN)CCC(CCCCC)C2CCCCCCC)CCC(CCCCC)C1CCCCCCC')"
NIPU,"('CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2CCC(CCCCC)C(CCCCCCC)C2CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2C(CCCCCCCCC(=O)NCCCCN)CCC(CCCCC)C2CCCCCCC)C1CCCCCCCCC(=O)NCCCCN')"
NIPU,"('NCc1cccc(CN)c1', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)OCC2COC(=O)O2)C1CCCCCCCCC(=O)OCC1COC(=O)O1')"
NIPU,"('CCCCCCC1CCC(CCCCCCCCN)C(CCCCCCCCCCN)C1CCCCCC', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)OCC2COC(=O)O2)C1CCCCCCCCC(=O)OCC1COC(=O)O1')"
NIPU,"('NCCCNCCCN', 'O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1')"
NIPU,"('NCCCCCCNC(=O)CC(O)(CC(=O)NCCCCCCN)C(=O)NCCCCCCN', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)OCC2COC(=O)O2)C1CCCCCCCCC(=O)OCC1COC(=O)O1')"
NIPU,"('O=C1OCC(COCC(O)C(OCC2COC(=O)O2)C(OCC2COC(=O)O2)C(O)COCC2COC(=O)O2)O1', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCNCCCN)C1CCCCCCCCC(=O)NCCCNCCCN')"
NIPU,"('NCc1cccc(CN)c1', 'O=C1OCC(COCCCCCCOCC2COC(=O)O2)O1')"
NIPU,"('NCc1cccc(CN)c1', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC')"
NIPU,"('CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCN)C1CCCCCCCCC(=O)NCCN')"
NIPU,"('NCCCNCCCN', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC')"
NIPU,"('NCCCCCCCCCCCCN', 'CC(C)(c1ccc(OCC2COC(=O)O2)cc1)c1ccc(OCC2COC(=O)O2)cc1')"
NIPU,"('NCc1cccc(CN)c1', 'CCCCCCC1CCC(CCCCCCCCCOC(=O)CCCCCCCC2OC(=O)OC2CC2OC(=O)OC2CC2OC(=O)OC2CC)C(CCCCCCCCCCCOC(=O)CCCCCCCC2OC(=O)OC2CC2OC(=O)OC2CC2OC(=O)OC2CC)C1CCCCCC')"
NIPU,"('NCCN(CCN)CCN', 'CCCCCCCC(CCCCCCCc1cccc(OCC2COC(=O)O2)c1)c1ccc(OCC2COC(=O)O2)cc1')"
NIPU,"('NCc1cccc(CN)c1', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCCCN)C1CCCCCCCCC(=O)NCCCCCCCN')"
NIPU,"('NCCCCCCN', 'O=C1OCC(COc2ccc(OCC3COC(=O)O3)cc2)O1')"
NIPU,"('CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OC', 'CCCCCCC1CCC(CCCCCCCCN)C(CCCCCCCCCCN)C1CCCCCC')"
NIPU,"('CCCCCCCCC1OC(=O)OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC)COC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC', 'CCCCCCCC1C(CCCCC)CCC(CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2CCC(CCCCC)C(CCCCCCC)C2CCCCCCCCC(=O)NCCCCNC(=O)CCCCCCCCC2C(CCCCCCCCC(=O)NCCCCN)CCC(CCCCC)C2CCCCCCC)C1CCCCCCCCC(=O)NCCCCN')"
NIPU,"('NCc1cccc(CN)c1', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
NIPU,"('NCCOCCOCCN', 'O=C1OCC(COc2cccc(OCC3COC(=O)O3)c2)O1')"
NIPU,"('NCCOCCOCCN', 'CCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCCCCCCC1OC(=O)OC1CC1OC(=O)OC1CC1OC(=O)OC1CC')"
urethane,"('OCCOc1ccc(C(c2ccc(OCCO)cc2)(C(F)(F)F)C(F)(F)F)cc1', 'O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(P(=O)(c3ccccc3)c3ccc(N4C(=O)c5ccc(N=C=O)cc5C4=O)cc3)cc1)C2=O')"
urethane,"('CN(C)CC(C)(CO)CO', 'O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1')"
urethane,"('O=C=NCCCCCCCCCCN=C=O', 'CCCCCCC(O)CC=CCCCCCCCCO')"
urethane,"('OCCCO', 'O=C=NCCCCN=C=O')"
urethane,"('O=P(c1ccccc1)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1', 'CP(=O)(c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1)c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1')"
urethane,"('O=C=NCCCCCCN=C=O', 'OCC1CC2C3CC(CO)C(C3)C2C1')"
urethane,"('CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1', 'Oc1ccc(N=Cc2ccc(C=Nc3ccc(O)cc3)cc2)cc1')"
urethane,"('OC1COC2C(O)COC12', 'O=C=NCCCCCCN=C=O')"
urethane,"('O=C=NCCCCN=C=O', 'OCCCCCCCCCCO')"
urethane,"('O=C=NCCCCN=C=O', 'OCCN(CCO)c1ccccc1')"
urethane,"('O=C=NC1CCC(N=C=O)CC1', 'OCC1CC2CC1C1CCC(CO)C21')"
urethane,"('CP(=O)(c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1)c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1', 'CC(C)(c1cc(Br)c(OCCO)c(Br)c1)c1cc(Br)c(OCCO)c(Br)c1')"
urethane,"('OCCN(CCO)c1ccccc1', 'O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1')"
urethane,"('OCc1cccc(CO)n1', 'O=C=NCCCCCCN=C=O')"
urethane,"('O=C=NCCCCCCCCN=C=O', 'OCCCCCCCCCCCCCCCCCCCCO')"
urethane,"('OCC1CCC(CO)CC1', 'O=C=NCC1CCCC(CN=C=O)C1')"
urethane,"('OCCOCCOCCOCCO', 'CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1')"
urethane,"('Oc1cccc(O)c1', 'O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(N5C(=O)c6ccc(N=C=O)cc6C5=O)cc4)c3)cc1)C2=O')"
urethane,"('OCCCCO', 'CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1')"
urethane,"('OCCCCCCCCCCO', 'O=C=NCCCCCCCCCCCCCCCCCCN=C=O')"
urethane,"('O=C=NCCCCCCN=C=O', 'O=[N+]([O-])c1ccc(N=Nc2ccc(N(CCO)CCO)cc2)cc1', 'CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1')"
urethane,"('Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12', 'O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(N5C(=O)c6ccc(N=C=O)cc6C5=O)cc4)c3)cc1)C2=O')"
urethane,"('O=P(c1ccccc1)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1', 'O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(P(=O)(c3ccccc3)c3ccc(N4C(=O)c5ccc(N=C=O)cc5C4=O)cc3)cc1)C2=O')"
urethane,"('OCc1cccc(CO)n1', 'O=C=NCCCCN=C=O')"
urethane,"('O=C=NCCCCCCN=C=O', 'OCCOCCOCCOCCO')"
urethane,"('Oc1ccc(-c2ccc(O)cc2)cc1', 'O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(N5C(=O)c6ccc(N=C=O)cc6C5=O)cc4)c3)cc1)C2=O')"
urethane,"('OCCO', 'CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1')"
urethane,"('CC(C)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1', 'CP(=O)(c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1)c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1')"
urethane,"('O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1', 'O=[N+]([O-])c1ccc(N=Nc2ccc(N(CCO)CCO)cc2)cc1')"
urethane,"('OCCCCO', 'O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1')"
urethane,"('OCCOc1ccc(C(c2ccc(OCCO)cc2)(C(F)(F)F)C(F)(F)F)cc1', 'CP(=O)(c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1)c1ccc(N2C(=O)c3ccc(N=C=O)cc3C2=O)cc1')"
urethane,"('O=C=NCCCCN=C=O', 'CN(C)CC(C)(CO)COCC(C)(CO)CN(C)C')"
urethane,"('OCCCO', 'CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1')"
urethane,"('OCCCO', 'O=C=NCCCCCCN=C=O')"
urethane,"('OCCCCCCCCCCO', 'O=C=NCCCCCCCCCCN=C=O')"
urethane,"('OCc1cccc(CO)n1', 'O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1')"
urethane,"('O=C=NCC1CCCC(CN=C=O)C1', 'OCC1CC2C3CC(CO)C(C3)C2C1')"
urethane,"('OCC1CCC(CO)CC1', 'O=C=NCCCCCCN=C=O')"
urethane,"('CC(C)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1', 'O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(P(=O)(c3ccccc3)c3ccc(N4C(=O)c5ccc(N=C=O)cc5C4=O)cc3)cc1)C2=O')"
urethane,"('OCC1CCC(CO)CC1', 'O=C=NC1CCC(N=C=O)CC1')"
urethane,"('OCCCCO', 'O=C=NCC1CCCC(CN=C=O)C1')"
urethane,"('OCCCCCCCCCCCCCCCCCCCCO', 'O=C=NCCCCCCCCCCCCCCCCCCN=C=O')"
urethane,"('Oc1cccc(O)c1', 'O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(N5C(=O)c6ccc(N=C=O)cc6C5=O)cc4)n3)cc1)C2=O')"
urethane,"('OCC1CC2C3CC(CO)C(C3)C2C1', 'CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1')"
urethane,"('O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1', 'Oc1ccc(N=Cc2ccc(C=Nc3ccc(O)cc3)cc2)cc1')"
urethane,"('CC(C)(c1cc(Br)c(OCCO)c(Br)c1)c1cc(Br)c(OCCO)c(Br)c1', 'O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(P(=O)(c3ccccc3)c3ccc(N4C(=O)c5ccc(N=C=O)cc5C4=O)cc3)cc1)C2=O')"
urethane,"('OCCOCCO', 'O=C=NCCCCCCN=C=O')"
urethane,"('Cc1ccc(N=C=O)cc1N=C=O', 'OCCCCCCOc1ccc(-c2ccc(OCCCCCCO)cc2)cc1')"
urethane,"('CC(C)(c1ccc(O)cc1)c1ccc(O)cc1', 'O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(N5C(=O)c6ccc(N=C=O)cc6C5=O)cc4)c3)cc1)C2=O')"
urethane,"('O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1', 'O=[N+]([O-])c1cnc(N=Nc2ccc(N(CCO)CCO)cc2)s1')"
urethane,"('OCCCCCCCCCCO', 'CCCCCCC(CC=CCCCCCCCCN=C=O)N=C=O')"
urethane,"('O=C=NCCCCCCN=C=O', 'OCCCCCCCCCCO')"
urethane,"('OCCN(CCO)CCO', 'Cc1ccc(N=C=O)cc1N=C=O')"
urethane,"('OCCCCCCCCCCO', 'O=C=NCCCCCCCCN=C=O')"
urethane,"('OCCCCCCO', 'CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1')"
urethane,"('OCCCCCCO', 'O=C=NC1CCC(N=C=O)CC1')"
urethane,"('OC1CCC(O)CC1', 'O=C=NCCCCCCN=C=O')"
urethane,"('O=C=NCCCCN=C=O', 'CN(C)CC(C)(CO)CO')"
urethane,"('Oc1ccccc1-c1ccccc1O', 'O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(N5C(=O)c6ccc(N=C=O)cc6C5=O)cc4)c3)cc1)C2=O')"
urethane,"('OCCCCCCO', 'O=C=NCCCCCCN=C=O')"
urethane,"('OCCO', 'O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1')"
urethane,"('OCCCCO', 'O=C=NCCCCCCN=C=O')"
urethane,"('OCCO', 'O=C=NCCCCCCN=C=O')"
urethane,"('OCC1CCC(CO)CC1', 'CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1')"
