Chemistry,Molecule,Bond (kcal/mol),Angle (kcal/mol),Proper Torsion (kcal/mol),Improper Torsion (kcal/mol),Nonbonded (kcal/mol),vdW (kcal/mol),Coulomb Short (kcal/mol),Coulomb Long (kcal/mol),Dispersion (kcal/mol),Potential (kcal/mol)
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-2-(dimethylaminomethyl)-2-methylpropane-1,3-diol)",150.36471742782035,117.99070421526528,18.657246060531826,0.003250165323498474,80.87894616578427,36.42202830815239,240.09654970544833,-195.63963184781645,-0.0044583687482366114,367.8948640347253
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-Decane-1,10-diol)",149.80057329296082,150.21292867409718,21.525841835699108,0.003250165323506586,4513040.983559891,4513033.473751911,185.93948366802613,-178.42967568776425,-0.005597650161399053,4513362.526153859
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-Propane-1,3-diol)",145.6615917524917,80.929643894275,12.899616738002598,0.003250165323484322,207.23484359039423,216.45274558127824,153.12306455051055,-162.34096654139452,-0.0023530047988273217,446.728946140487
polyurethane_isocyanate,"poly(1,4-diisocyanatobutane-co-[6-(hydroxymethyl)pyridin-2-yl]methanol)",171.9058256014196,99.96956550249492,6.71223749782312,0.011864846687336903,7529256.626390983,7529255.697544607,209.36988153739637,-208.4410351617254,-0.003900527305294633,7529535.225884431
polyamide,"poly(1,5-bis(3-aminophenyl)penta-1,4-dien-3-one-co-Benzene-1,3-dicarboxylic acid)",232.39560274976375,138.96210058457567,27.301964704302573,0.031953570944858616,-2.8864185807552603,240.86222737657482,117.655644258917,-361.4042902162471,-0.008103602084800496,395.80520302883156
polyamide,"poly(1,5-bis(3-aminophenyl)penta-1,4-dien-3-one-co-hexanedioic acid)",208.16945351996904,145.2409994146488,35.160992224932,0.03730477200716561,2621484469557.125,2621484469856.6753,37.0376831673748,-336.5877371919757,-0.0075949315477407695,2621484469945.734
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-2,3,3a,5,6,6a-hexahydrofuro[5,4-d]furan-3,6-diol)",148.3298496551281,138.35138953803045,47.98921332850657,0.003181450406055167,134.10303477788366,83.55142441693576,237.02211169245132,-186.4705013315034,-0.004906923759576963,468.77666874995475
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-2-(2-Hydroxyethoxy)ethanol)",147.96612737327797,110.92283056264692,25.92315598253168,0.0031814504060876897,55.15034390034998,31.666297021266324,202.88889299247415,-179.4048461133905,-0.003860666463762755,339.9656392692126
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol)",150.7389944027749,149.26111083253582,30.923149438954205,0.0031814504060779787,28577325.295804556,28577257.721153278,279.3060522198221,-211.73140093974706,-0.006702587019563598,28577656.22224068
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Butane-1,4-diol)",147.4886709079735,111.44197516367572,15.431576830429064,0.003181450406075892,22351648.75577453,22351637.195718784,179.45711333659585,-167.89705759091322,-0.0035740490373547106,22351923.121178884
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Cyclohexane-1,4-diol)",149.07224110074966,132.82862942844963,31.018156019502175,0.003181450406055167,49778721892.69469,49778721854.25036,216.29458855143284,-177.85025594533104,-0.004398793523030987,49778722205.6169
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Decane-1,10-diol)",151.29099199613177,170.08142358405476,21.554128383570394,0.003181450406055167,4528311.121181127,4528305.099587593,185.35695287073975,-179.33535933812797,-0.00677896878404429,4528654.050906541
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Ethane-1,2-diol)",146.55848506938958,91.42592557237288,18.478272530177527,0.003181450406055167,35367161.91916943,35367185.09261171,140.89149265475766,-164.06493493409764,-0.002731766535122016,35367418.385034055
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-HEXANE-1,6-DIOL)",148.95592813267024,129.59303704247606,21.895435894685818,0.003181450406079785,162349.0028703447,162334.23303106986,186.15130340431148,-171.38146412944732,-0.004529343579595441,162649.45045286496
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-Propane-1,3-diol)",147.1184010906735,100.83438480130324,12.72975369311001,0.003181450406055167,80.88241529376627,83.41119489231221,164.21773779231324,-166.7465173908592,-0.0031387812813219377,341.56813632925906
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-[4-(hydroxymethyl)cyclohexyl]methanol)",151.58872857474663,151.13056120089223,33.84930996315462,0.003181450406054516,49.43537358725708,36.48070643664661,189.02022319969848,-176.065556049088,-0.005445936482412997,386.00715477645656
polyurethane_isocyanate,"poly(1,6-Diisocyanatohexane-co-[6-(hydroxymethyl)pyridin-2-yl]methanol)",173.3171697784223,119.85995474354482,7.0077688294206935,0.011604148194573649,10344.068526176337,10339.449412389511,224.90261386095963,-220.28350007413195,-0.00489616399174564,10644.265023675918
polyurethane_isocyanate,"poly(1,8-Diisocyanatooctane-co-Decane-1,10-diol)",151.99286403731602,188.40656883432263,23.47563315820007,0.003017418255994316,4517333.582400077,4517313.654378256,203.56437504105781,-183.63635322023575,-0.008073299445467903,4517697.460483525
polyurethane_isocyanate,"poly(1,8-Diisocyanatooctane-co-icosane-1,20-diol)",158.32506873968632,285.5275643450858,54.78570376191063,0.003017418256014507,480.4586489744919,465.66403164781104,216.63006782376274,-201.83545049708184,-0.01624013335355142,979.1000032394305
polyurethane_isocyanate,poly(1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene-co-2-(2-hydroxyethyl-phenylamino)ethanol),223.74203190613392,157.8192519617525,22.50668205413474,0.053746950923365386,-31.705911980146933,187.99800593726334,93.92086940848709,-313.6247873258974,-0.009642292606197742,372.4158008927977
