mechanism,polymer_name,directory,n_atoms_in_topology,Density
polycarbonate_phosgene,poly(4-[1-(4-hydroxyphenyl)-1-phenylethyl]phenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[1-(4-hydroxyphenyl)-1-phenylethyl]phenol-co-carbonyl dichloride)/trimer/1x1x1,122,1.208
polyamide,"poly(4-[4-[2-[4-(4-aminophenoxy)phenyl]propan-2-yl]phenoxy]aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)","polymer_update/polyamide/poly(4-[4-[2-[4-(4-aminophenoxy)phenyl]propan-2-yl]phenoxy]aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)/trimer/1x1x1",288,1.159
polycarbonate_phosgene,poly(4-[2-(4-hydroxy-3-propan-2-ylphenyl)propan-2-yl]-2-propan-2-ylphenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[2-(4-hydroxy-3-propan-2-ylphenyl)propan-2-yl]-2-propan-2-ylphenol-co-carbonyl dichloride)/trimer/1x1x1,155,1.081
polyamide,"poly(hexane-1,6-diamine-co-decanedioic acid)","polymer_update/polyamide/poly(hexane-1,6-diamine-co-decanedioic acid)/trimer/1x1x1",153,1.04
polyester,"poly(ethane-1,2-diol-co-4-[2-(4-carboxyphenoxy)ethoxy]benzoic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-4-[2-(4-carboxyphenoxy)ethoxy]benzoic acid)/trimer/1x1x1",123,1.285
polyester,"poly(ethane-1,2-diol-co-hexanedioic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-hexanedioic acid)/trimer/1x1x1",75,1.16
polyamide,"poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-5-tert-butylbenzene-1,3-dicarboxylic acid)","polymer_update/polyamide/poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-5-tert-butylbenzene-1,3-dicarboxylic acid)/trimer/1x1x1",357,1.25
polycarbonate_phosgene,"poly(3,3,3',3'-tetramethyl-1,1'-spirobi[2h-indene]-5,5'-diol-co-carbonyl dichloride)","polymer_update/polycarbonate_phosgene/poly(3,3,3',3'-tetramethyl-1,1'-spirobi[2h-indene]-5,5'-diol-co-carbonyl dichloride)/trimer/1x1x1",143,1.147
polycarbonate_phosgene,poly(4-[2-(4-hydroxyphenyl)pentan-2-yl]phenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[2-(4-hydroxyphenyl)pentan-2-yl]phenol-co-carbonyl dichloride)/trimer/1x1x1,119,1.159
polyester,"poly(propane-1,3-diol-co-octadecanedioic acid)","polymer_update/polyester/poly(propane-1,3-diol-co-octadecanedioic acid)/trimer/1x1x1",192,1.06
polyurethane_isocyanate,"poly(1,6-diisocyanatohexane-co-2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol)","polymer_update/polyurethane_isocyanate/poly(1,6-diisocyanatohexane-co-2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol)/trimer/1x1x1",165,1.22
polycarbonate_phosgene,poly(4-[5-(4-hydroxyphenyl)nonan-5-yl]phenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[5-(4-hydroxyphenyl)nonan-5-yl]phenol-co-carbonyl dichloride)/trimer/1x1x1,155,1.098
polyester,"poly(2-(2-hydroxyethoxy)ethanol-co-benzene-1,3-dicarboxylic acid)","polymer_update/polyester/poly(2-(2-hydroxyethoxy)ethanol-co-benzene-1,3-dicarboxylic acid)/trimer/1x1x1",90,1.315
polyester,"poly(propane-1,3-diol-co-hexanedioic acid)","polymer_update/polyester/poly(propane-1,3-diol-co-hexanedioic acid)/trimer/1x1x1",84,1.27
polyester,"poly(hexane-1,6-diol-co-hexanedioic acid)","polymer_update/polyester/poly(hexane-1,6-diol-co-hexanedioic acid)/trimer/1x1x1",111,1.06
polyamide,"poly(benzene-1,3-diamine-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)","polymer_update/polyamide/poly(benzene-1,3-diamine-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)/trimer/1x1x1",165,1.17
polyester,poly(2-(2-hydroxyethoxy)ethanol-co-decanedioic acid),polymer_update/polyester/poly(2-(2-hydroxyethoxy)ethanol-co-decanedioic acid)/trimer/1x1x1,132,1.13
polyester,"poly(octane-1,8-diol-co-furan-2,5-dicarboxylic acid)","polymer_update/polyester/poly(octane-1,8-diol-co-furan-2,5-dicarboxylic acid)/trimer/1x1x1",114,1.19
polyester,"poly(ethane-1,2-diol-co-benzene-1,3-dicarboxylic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-benzene-1,3-dicarboxylic acid)/trimer/1x1x1",69,1.346
